Epochs,Loss random rotations
52,5.8155
104,5.68752
156,5.68935
208,5.70781
260,5.69676
312,5.70175
364,5.68542
416,5.70699
468,5.69258
520,5.70551
572,5.70148
624,5.70507
676,5.70385
728,5.71067
780,5.7049
832,5.69404
884,5.69799
936,5.71028
988,5.70493
1040,5.70101
1092,5.69297
1144,5.70635
1196,5.70366
1248,5.6954
1300,5.70446
1352,5.7034
1404,5.69669
1456,5.697
1508,5.70132
1560,5.6892
1612,5.68724
1664,5.70107
1716,5.70479
1768,5.69997
1820,5.69636
1872,5.69349
1924,5.69639
1976,5.70809
2028,5.69963
2080,5.69673
2132,5.68884
2184,5.70245
2236,5.69157
2288,5.67606
2340,5.68864
2392,5.69245
2444,5.693
2496,5.69811
2548,5.68431
2600,5.68562
2652,5.69411
2704,5.68449
2756,5.68852
2808,5.69741
2860,5.69734
2912,5.68863
2964,5.69091
3016,5.68514
3068,5.67827
3120,5.6936
3172,5.6961
3224,5.67696
3276,5.69288
3328,5.67075
3380,5.68167
3432,5.67334
3484,5.69756
3536,5.67926
3588,5.69171
3640,5.68048
3692,5.67316
3744,5.66712
3796,5.66582
3848,5.65389
3900,5.65098
3952,5.65084
4004,5.65555
4056,5.63485
4108,5.66376
4160,5.65185
4212,5.62303
4264,5.61295
4316,5.60908
4368,5.50914
4420,5.49584
4472,5.3738
4524,5.42864
4576,5.46151
4628,5.29326
4680,5.12578
4732,5.18047
4784,5.16676
4836,5.12202
4888,5.27316
4940,4.99225
4992,4.87705
5044,4.99458
5096,4.70874
5148,4.58274
5200,4.53427
5252,4.30172
5304,4.34656
5356,4.40073
5408,4.09527
5460,3.99205
5512,4.29345
5564,4.18456
5616,4.21182
5668,3.97953
5720,4.0705
5772,3.85614
5824,4.10727
5876,3.64987
5928,3.68334
5980,3.93677
6032,3.69196
6084,3.44623
6136,3.75223
6188,3.63786
6240,4.09644
6292,3.63677
6344,3.69185
6396,3.45235
6448,3.42699
6500,3.67216
6552,3.68437
6604,3.36171
6656,3.15085
6708,3.35503
6760,3.76047
6812,3.555
6864,3.27029
6916,3.42794
6968,3.53111
7020,3.54836
7072,3.20391
7124,3.32003
7176,3.11762
7228,3.20286
7280,3.49116
7332,3.16829
7384,3.27516
7436,3.05261
7488,3.35054
7540,3.02391
7592,3.30254
7644,2.98135
7696,2.90345
7748,2.99921
7800,3.31524
7852,3.00828
7904,3.423
7956,3.09437
8008,3.2408
8060,2.95161
8112,3.18661
8164,2.57556
8216,3.08253
8268,2.72696
8320,2.79216
8372,3.19578
8424,2.95857
8476,2.80012
8528,3.2402
8580,3.07969
8632,2.64757
8684,2.82808
8736,2.64345
8788,2.38935
8840,3.15061
8892,2.88741
8944,2.76277
8996,2.91791
9048,3.00961
9100,2.7394
9152,2.98981
9204,2.54837
9256,2.94767
9308,2.47273
9360,3.21672
9412,2.87586
9464,2.79301
9516,2.66551
9568,2.87194
9620,2.59269
9672,2.66136
9724,2.60641
9776,3.06575
9828,2.62839
9880,2.92791
9932,2.65271
9984,2.66071
10036,3.38308
10088,2.64864
10140,2.64203
10192,2.35305
10244,2.4973
10296,3.49873
10348,2.8023
10400,2.8866
10452,2.53997
10504,1.91578
10556,2.17436
10608,1.85836
10660,1.92555
10712,1.83813
10764,1.99431
10816,1.77259
10868,1.78944
10920,1.87089
10972,1.7977
11024,1.54204
11076,1.46877
11128,1.90038
11180,2.03455
11232,1.54863
11284,1.93899
11336,1.69629
11388,1.6277
11440,1.84209
11492,1.99285
11544,1.98353
11596,1.8981
11648,2.0755
11700,1.51048
11752,1.09843
11804,1.76317
11856,1.68119
11908,1.4319
11960,1.42971
12012,1.68073
12064,1.59898
12116,1.58806
12168,1.39367
12220,1.54122
12272,1.3839
12324,1.54421
12376,1.96238
12428,2.24437
12480,1.71169
12532,1.62641
12584,1.51698
12636,1.54606
12688,1.6802
12740,1.93932
12792,1.31279
12844,1.51651
12896,1.37519
12948,1.7436
13000,1.11109
13052,1.65489
13104,1.4573
13156,1.31457
13208,1.5163
13260,1.56036
13312,1.49575
13364,1.76158
13416,1.4134
13468,1.57247
13520,1.49394
13572,1.37917
13624,1.33057
13676,1.71277
13728,1.26905
13780,1.3864
13832,2.22285
13884,1.4585
13936,1.29699
13988,1.54419
14040,1.45094
14092,1.23209
14144,1.5035
14196,1.41902
14248,2.17629
14300,1.25582
14352,1.26428
14404,1.66977
14456,1.33135
14508,1.5015
14560,1.18206
14612,1.43103
14664,0.985083
14716,1.53806
14768,1.71326
14820,0.988083
14872,1.42896
14924,1.11763
14976,1.18777
15028,0.926562
15080,1.13226
15132,1.08775
15184,1.12667
15236,1.09514
15288,1.67135
15340,1.66353
15392,1.24856
15444,1.55531
15496,1.4893
15548,1.18468
15600,1.04765
15652,1.13797
15704,0.752599
15756,0.703576
15808,0.747335
15860,0.532422
15912,0.641834
15964,0.483642
16016,0.498848
16068,0.397174
16120,0.407367
16172,0.44819
16224,0.425146
16276,0.6067
16328,0.375263
16380,0.455379
16432,0.404542
16484,0.51759
16536,0.379279
16588,0.564008
16640,0.492337
16692,0.566131
16744,0.423222
16796,0.40458
16848,0.478457
16900,0.446033
16952,0.317681
17004,0.506754
17056,0.484549
17108,0.650798
17160,0.450874
17212,0.384174
17264,0.371574
17316,0.227111
17368,0.77024
17420,0.449787
17472,0.30976
17524,0.508183
17576,0.517099
17628,0.371949
17680,0.400024
17732,0.494235
17784,0.2157
17836,0.298219
17888,0.388662
17940,0.524517
17992,0.523758
18044,0.438061
18096,0.476757
18148,0.275021
18200,0.650425
18252,0.420346
18304,0.721963
18356,0.391474
18408,0.561687
18460,0.561716
18512,0.281257
18564,0.445108
18616,0.405149
18668,0.709667
18720,0.634953
18772,0.665485
18824,0.302291
18876,0.751888
18928,0.570437
18980,0.433059
19032,0.328893
19084,0.248932
19136,0.192331
19188,0.323409
19240,0.323243
19292,0.529942
19344,0.178565
19396,0.147227
19448,0.325871
19500,0.237377
19552,0.664542
19604,0.301465
19656,0.201908
19708,0.471704
19760,0.2083
19812,0.403407
19864,0.252027
19916,0.186174
19968,0.240445
20020,0.462637
20072,0.275513
20124,0.561307
20176,0.417932
20228,0.696165
20280,0.982746
20332,0.733438
20384,0.739777
20436,0.987516
20488,0.383901
20540,0.516347
20592,0.239368
20644,0.357464
20696,0.272107
20748,0.503348
20800,0.238592
20852,0.189042
20904,0.310945
20956,0.292238
21008,0.211969
21060,0.177861
21112,0.159181
21164,0.103563
21216,0.193569
21268,0.170928
21320,0.0785859
21372,0.168438
21424,0.0967365
21476,0.206328
21528,0.099419
21580,0.098878
21632,0.160462
21684,0.113259
21736,0.264994
21788,0.165422
21840,0.322963
21892,0.18131
21944,0.137132
21996,0.132186
22048,0.175372
22100,0.0797814
22152,0.328146
22204,0.112425
22256,0.108781
22308,0.215288
22360,0.19809
22412,0.0436416
22464,0.0837994
22516,0.166173
22568,0.201418
22620,0.0880285
22672,0.111021
22724,0.112226
22776,0.103346
22828,0.146373
22880,0.233352
22932,0.142292
22984,0.078236
23036,0.0849283
23088,0.185206
23140,0.0883504
23192,0.198934
23244,0.0971771
23296,0.0565065
23348,0.135813
23400,0.171143
23452,0.102897
23504,0.109455
23556,0.0859257
23608,0.0560342
23660,0.0848098
23712,0.17542
23764,0.122845
23816,0.0747565
23868,0.0485924
23920,0.191728
23972,0.0783857
24024,0.0471998
24076,0.132108
24128,0.124941
24180,0.125474
24232,0.0697452
24284,0.10849
24336,0.0886337
24388,0.113738
24440,0.178889
24492,0.0707846
24544,0.169666
24596,0.0570126
24648,0.0593065
24700,0.0533054
24752,0.123011
24804,0.0370182
24856,0.135916
24908,0.0969376
24960,0.0355023
25012,0.0705363
25064,0.04742
25116,0.0735616
25168,0.106269
25220,0.0754178
25272,0.0382645
25324,0.130925
25376,0.0714931
25428,0.146877
25480,0.198412
25532,0.0669209
25584,0.110581
25636,0.121342
25688,0.0800472
25740,0.119733
25792,0.0966007
25844,0.160478
25896,0.0897383
25948,0.120937
26000,0.0657811
26052,0.0818535
26104,0.0855252
26156,0.0661352
26208,0.0626678
26260,0.0848916
26312,0.0453272
26364,0.0399383
26416,0.0827423
26468,0.0643673
26520,0.0798526
26572,0.0646635
26624,0.031311
26676,0.0137314
26728,0.0298135
26780,0.0522246
26832,0.0659536
26884,0.130068
26936,0.0809971
26988,0.160884
27040,0.0211989
27092,0.0243096
27144,0.0241854
27196,0.0798409
27248,0.0520182
27300,0.0675443
27352,0.0564073
27404,0.0771421
27456,0.0405084
27508,0.0358355
27560,0.0293916
27612,0.113758
27664,0.0843914
27716,0.123085
27768,0.045154
27820,0.150267
27872,0.0285219
27924,0.0821409
27976,0.0456594
28028,0.0539274
28080,0.0238653
28132,0.0235452
28184,0.0550179
28236,0.0362799
28288,0.0840481
28340,0.0361246
28392,0.0668489
28444,0.0190458
28496,0.0480685
28548,0.0502414
28600,0.06672
28652,0.0496844
28704,0.0410904
28756,0.0479843
28808,0.0626799
28860,0.0402348
28912,0.0342208
28964,0.028275
29016,0.0235984
29068,0.0204581
29120,0.0443043
29172,0.0620969
29224,0.0316359
29276,0.0767931
29328,0.0571273
29380,0.0277237
29432,0.0724914
29484,0.105365
29536,0.0889553
29588,0.0268383
29640,0.0668818
29692,0.0175991
29744,0.0306275
29796,0.0447282
29848,0.0430108
29900,0.0814445
29952,0.0828928
30004,0.0344939
30056,0.0325948
30108,0.0234603
30160,0.0822598
30212,0.0351845
30264,0.0313481
30316,0.0214663
30368,0.0335855
30420,0.0232338
30472,0.0540939
30524,0.0479795
30576,0.0325194
30628,0.108715
30680,0.035688
30732,0.0287059
30784,0.0527594
30836,0.0557291
30888,0.0497433
30940,0.020652
30992,0.0335693
31044,0.0195545
31096,0.031787
31148,0.0266915
31200,0.0702509
31252,0.0327642
31304,0.0406801
31356,0.0264262
31408,0.0404675
31460,0.032646
31512,0.0441252
31564,0.053386
31616,0.0296288
31668,0.0311845
31720,0.031274
31772,0.0559174
31824,0.0743462
31876,0.060511
31928,0.0244268
31980,0.0616737
32032,0.0330052
32084,0.0714225
32136,0.0486154
32188,0.03726
32240,0.0296953
32292,0.0293384
32344,0.0383176
32396,0.041607
32448,0.0288622
32500,0.0145034
32552,0.0354227
32604,0.0214153
32656,0.0370974
32708,0.0608763
32760,0.0377173
32812,0.0689668
32864,0.0203728
32916,0.0503731
32968,0.0402303
33020,0.0392175
33072,0.0336138
33124,0.0105052
33176,0.0312695
33228,0.0547429
33280,0.0465796
33332,0.0198705
33384,0.0347476
33436,0.0188948
33488,0.0349751
33540,0.0331633
33592,0.0435067
33644,0.0318849
33696,0.0416735
33748,0.0518428
33800,0.0257776
33852,0.0366449
33904,0.0436222
33956,0.0361496
34008,0.0358189
34060,0.0380091
34112,0.0248246
34164,0.0483633
34216,0.0505713
34268,0.0266873
34320,0.0189603
34372,0.0375609
34424,0.0266237
34476,0.0593533
34528,0.0261273
34580,0.0521887
34632,0.0179092
34684,0.0323762
34736,0.0795001
34788,0.0200601
34840,0.029326
34892,0.0135485
34944,0.0313588
34996,0.0273409
35048,0.0153269
35100,0.0216131
35152,0.0180665
35204,0.0236456
35256,0.0177229
35308,0.0397047
35360,0.0471167
35412,0.0266169
35464,0.0212763
35516,0.0480247
35568,0.0765518
35620,0.0289089
35672,0.0188125
35724,0.0246288
35776,0.0168393
35828,0.0213021
35880,0.0143423
35932,0.0457375
35984,0.0362997
36036,0.0186542
36088,0.0246495
36140,0.0404582
36192,0.0247206
36244,0.0162042
36296,0.067072
36348,0.0183157
36400,0.0404995
36452,0.0279982
36504,0.0198399
36556,0.0385544
36608,0.0439425
36660,0.0255313
36712,0.021422
36764,0.0402368
36816,0.0119043
36868,0.0313733
36920,0.0160524
36972,0.018665
37024,0.0158693
37076,0.0773251
37128,0.0332892
37180,0.0371834
37232,0.0367766
37284,0.0400583
37336,0.0253288
37388,0.0302942
37440,0.0342928
37492,0.0134908
37544,0.026591
37596,0.0312295
37648,0.0521495
37700,0.0284218
37752,0.0291301
37804,0.0296593
37856,0.0444651
37908,0.0303984
37960,0.0175565
38012,0.022383
38064,0.0384879
38116,0.0508296
38168,0.0399347
38220,0.0434595
38272,0.0143496
38324,0.028397
38376,0.0382764
38428,0.0206783
38480,0.014418
38532,0.0202586
38584,0.0265391
38636,0.0167033
38688,0.0190675
38740,0.0705068
38792,0.028645
38844,0.031757
38896,0.0439541
38948,0.0145954
39000,0.022252
39052,0.0084231
39104,0.0344761
39156,0.0261664
39208,0.0158871
39260,0.0302427
39312,0.0273695
39364,0.0465106
39416,0.0301405
39468,0.0361313
39520,0.0261857
39572,0.0342868
39624,0.0157149
39676,0.0244446
39728,0.0267877
39780,0.0253348
39832,0.0238395
39884,0.0148999
39936,0.0415154
39988,0.0239054
